0,8.31E-09,8.37E-09,8.42E-09,8.48E-09,8.54E-09,8.60E-09,8.65E-09,8.71E-09,8.77E-09,8.83E-09,8.89E-09,8.94E-09,9.00E-09,9.06E-09,9.12E-09,9.17E-09
0.005,8.37E-09,8.49E-09,8.61E-09,8.72E-09,8.84E-09,8.96E-09,9.08E-09,9.20E-09,9.33E-09,9.45E-09,9.58E-09,9.70E-09,9.82E-09,9.95E-09,1.01E-08,1.02E-08
0.01,8.44E-09,8.62E-09,8.80E-09,8.98E-09,9.16E-09,9.35E-09,9.54E-09,9.73E-09,9.92E-09,1.01E-08,1.03E-08,1.05E-08,1.07E-08,1.09E-08,1.11E-08,1.13E-08
0.015,8.52E-09,8.75E-09,8.99E-09,9.24E-09,9.49E-09,9.75E-09,1.00E-08,1.03E-08,1.06E-08,1.08E-08,1.11E-08,1.14E-08,1.17E-08,1.20E-08,1.23E-08,1.26E-08
0.02,8.59E-09,8.89E-09,9.19E-09,9.51E-09,9.83E-09,1.02E-08,1.05E-08,1.09E-08,1.12E-08,1.16E-08,1.20E-08,1.24E-08,1.28E-08,1.32E-08,1.36E-08,1.40E-08
0.025,8.67E-09,9.03E-09,9.40E-09,9.79E-09,1.02E-08,1.06E-08,1.10E-08,1.15E-08,1.19E-08,1.24E-08,1.29E-08,1.34E-08,1.39E-08,1.44E-08,1.50E-08,1.55E-08
0.03,8.75E-09,9.18E-09,9.62E-09,1.01E-08,1.06E-08,1.11E-08,1.16E-08,1.21E-08,1.27E-08,1.33E-08,1.39E-08,1.45E-08,1.52E-08,1.58E-08,1.65E-08,1.72E-08
0.035,8.83E-09,9.32E-09,9.84E-09,1.04E-08,1.09E-08,1.15E-08,1.22E-08,1.28E-08,1.35E-08,1.42E-08,1.50E-08,1.57E-08,1.65E-08,1.74E-08,1.82E-08,1.91E-08
0.04,8.92E-09,9.48E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.28E-08,1.35E-08,1.44E-08,1.52E-08,1.61E-08,1.70E-08,1.80E-08,1.90E-08,2.01E-08,2.12E-08
0.045,9.01E-09,9.63E-09,1.03E-08,1.10E-08,1.18E-08,1.26E-08,1.34E-08,1.43E-08,1.53E-08,1.63E-08,1.73E-08,1.84E-08,1.96E-08,2.08E-08,2.21E-08,2.35E-08
